symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
AAPL,2019-02-01 00:00:00+00:00,166.52,168.98,165.93,166.96,32668138,39.9556722273,40.5459373827,39.8141045681,40.0612481088,130672552,0.0,1.0
AAPL,2019-02-04 00:00:00+00:00,171.25,171.66,167.28,167.41,31495582,41.090612953,41.1889904789,40.138030568,40.1692234421,125982328,0.0,1.0
AAPL,2019-02-05 00:00:00+00:00,174.18,175.08,172.35,172.86,36101628,41.7936523454,42.009603012,41.3545526566,41.476924701,144406512,0.0,1.0
AAPL,2019-02-06 00:00:00+00:00,174.24,175.57,172.85,174.65,28239591,41.8080490565,42.1271761527,41.4745252492,41.9064265824,112958364,0.0,1.0
AAPL,2019-02-07 00:00:00+00:00,170.94,173.94,170.34,172.4,31741690,41.0162299456,41.736065501,40.8722628345,41.3665499159,126966760,0.0,1.0
AAPL,2019-02-08 00:00:00+00:00,170.41,170.66,168.42,168.99,23819966,41.0642189826,41.1244622474,40.5846825952,40.7220372388,95279864,0.73,1.0
AAPL,2019-02-11 00:00:00+00:00,169.43,171.21,169.25,171.05,20993425,40.8280653848,41.2569974298,40.7846902342,41.2184417404,83973700,0.0,1.0
AAPL,2019-02-12 00:00:00+00:00,170.89,171.0,169.7,170.1,22283523,41.1798860509,41.2063930874,40.8931281107,40.9895173343,89134092,0.0,1.0
AAPL,2019-02-13 00:00:00+00:00,170.18,172.48,169.92,171.39,22490233,41.008795179,41.5630332147,40.9461421837,41.3003725804,89960932,0.0,1.0
AAPL,2019-02-14 00:00:00+00:00,170.8,171.26,169.38,169.71,21835747,41.1581984756,41.2690460828,40.8160167318,40.8955378413,87342988,0.0,1.0
AAPL,2019-02-15 00:00:00+00:00,170.42,171.7,169.75,171.25,24626814,41.0666287132,41.3750742287,40.9051767637,41.2666363522,98507256,0.0,1.0
AAPL,2019-02-19 00:00:00+00:00,170.93,171.44,169.49,169.71,18972826,41.1895249733,41.3124212334,40.8425237683,40.8955378413,75891304,0.0,1.0
AAPL,2019-02-20 00:00:00+00:00,172.03,173.32,170.99,171.19,26114362,41.4545953382,41.7654505843,41.2039833568,41.2521779686,104457448,0.0,1.0
AAPL,2019-02-21 00:00:00+00:00,171.06,172.37,170.3,171.8,17249670,41.220851471,41.5365261782,41.0377119461,41.3991715346,68998680,0.0,1.0
AAPL,2019-02-22 00:00:00+00:00,172.97,173.0,171.38,171.58,18913154,41.6811100136,41.6883392054,41.2979628498,41.3461574616,75652616,0.0,1.0
AAPL,2019-02-25 00:00:00+00:00,174.23,175.87,173.95,174.16,21873358,41.984736068,42.3799318847,41.9172636114,41.9678679538,87493432,0.0,1.0
AAPL,2019-02-26 00:00:00+00:00,174.33,175.3,173.17,173.71,17070211,42.0088333739,42.2425772411,41.7293046254,41.8594300773,68280844,0.0,1.0
AAPL,2019-02-27 00:00:00+00:00,174.87,175.0,172.73,173.21,27835389,42.1389588257,42.1702853234,41.6232764795,41.7389435478,111341556,0.0,1.0
AAPL,2019-02-28 00:00:00+00:00,173.15,174.91,172.92,174.32,28215416,41.7244851642,42.1485977481,41.6690613607,42.0064236433,112861664,0.0,1.0
AAPL,2019-03-01 00:00:00+00:00,174.97,175.15,172.89,174.28,25886167,42.1630561316,42.2064312822,41.6618321689,41.9967847209,103544668,0.0,1.0
AAPL,2019-03-04 00:00:00+00:00,175.85,177.75,173.97,175.69,27436203,42.3751124235,42.8329612356,41.9220830726,42.3365567341,109744812,0.0,1.0
AAPL,2019-03-05 00:00:00+00:00,175.53,176.0,174.54,175.94,19737419,42.2980010446,42.4112583824,42.0594377162,42.3967999988,78949676,0.0,1.0
AAPL,2019-03-06 00:00:00+00:00,174.52,175.49,173.94,174.67,20810384,42.0546182551,42.2883621223,41.9148538808,42.0907642139,83241536,0.0,1.0
AAPL,2019-03-07 00:00:00+00:00,172.5,174.44,172.02,173.87,24796374,41.5678526759,42.0353404103,41.4521856076,41.8979857667,99185496,0.0,1.0
AAPL,2019-03-08 00:00:00+00:00,172.91,173.07,169.5,170.32,23999358,41.6666516301,41.7052073195,40.8449334989,41.0425314073,95997432,0.0,1.0
AAPL,2019-03-11 00:00:00+00:00,178.9,179.12,175.35,175.49,32011034,43.1100802534,43.1630943264,42.254625894,42.2883621223,128044136,0.0,1.0
AAPL,2019-03-12 00:00:00+00:00,180.91,182.67,179.37,180.0,32467584,43.594436102,44.0185486858,43.2233375912,43.3751506183,129870336,0.0,1.0
AAPL,2019-03-13 00:00:00+00:00,181.71,183.3,180.92,182.25,31032524,43.7872145492,44.170361713,43.5968458326,43.9173400011,124130096,0.0,1.0
AAPL,2019-03-14 00:00:00+00:00,183.73,184.1,182.56,183.9,23579508,44.2739801284,44.3631401602,43.9920416493,44.3149455484,94318032,0.0,1.0
AAPL,2019-03-15 00:00:00+00:00,186.12,187.33,183.74,184.85,39042912,44.8499057394,45.1414831407,44.276389859,44.5438699544,156171648,0.0,1.0
AAPL,2019-03-18 00:00:00+00:00,188.02,188.39,185.79,185.8,26219832,45.3077545514,45.3969145833,44.7703846299,44.7727943605,104879328,0.0,1.0
AAPL,2019-03-19 00:00:00+00:00,186.53,188.99,185.92,188.35,31646369,44.9487046935,45.5414984187,44.8017111276,45.3872756609,126585476,0.0,1.0
AAPL,2019-03-20 00:00:00+00:00,188.16,189.49,184.73,186.23,31035231,45.3414907797,45.6619849482,44.5149531874,44.8764127758,124140924,0.0,1.0
AAPL,2019-03-21 00:00:00+00:00,195.09,196.33,189.81,190.02,51034237,47.0114340785,47.3102406716,45.739096327,45.7897006694,204136948,0.0,1.0
AAPL,2019-03-22 00:00:00+00:00,191.05,197.69,190.78,195.34,42407666,46.0379029202,47.6379640319,45.9728401943,47.0716773432,169630664,0.0,1.0
AAPL,2019-03-25 00:00:00+00:00,188.74,191.98,186.6,191.51,43845293,45.4812551539,46.262007865,44.9655728077,46.1487505273,175381172,0.0,1.0
