symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
DIS,2019-04-05 00:00:00+00:00,115.0,115.13,114.31,114.97,10907893,113.2449218787,113.3729378773,112.5654523474,113.2153797251,10907893,0.0,1.0
DIS,2019-04-08 00:00:00+00:00,114.96,115.83,114.64,115.0,11054215,113.2055323406,114.0622547931,112.8904160363,113.2449218787,11054215,0.0,1.0
DIS,2019-04-09 00:00:00+00:00,116.86,117.16,115.28,115.61,17340289,115.0765353978,115.3719569331,113.520648645,113.8456123339,17340289,0.0,1.0
DIS,2019-04-10 00:00:00+00:00,117.16,118.03,116.28,117.58,14091055,115.3719569331,116.2286793856,114.5053870961,115.7855470826,14091055,0.0,1.0
DIS,2019-04-11 00:00:00+00:00,116.6,117.86,116.32,117.73,12784470,114.8205034005,116.0612738489,114.5447766342,115.9332578502,12784470,0.0,1.0
DIS,2019-04-12 00:00:00+00:00,130.06,130.9,126.36,127.91,65253497,128.0750829525,128.9022632515,124.4315506834,125.9578952826,65253497,0.0,1.0
DIS,2019-04-15 00:00:00+00:00,132.04,132.7,129.79,131.05,32773740,130.0248650857,130.6747924635,127.8092035707,129.0499740191,32773740,0.0,1.0
DIS,2019-04-16 00:00:00+00:00,129.9,132.13,129.56,131.75,14564317,127.9175248004,130.1134915463,127.582713727,129.7392909349,14564317,0.0,1.0
DIS,2019-04-17 00:00:00+00:00,131.75,132.36,129.28,129.81,14253715,129.7392909349,130.3399813901,127.3069869607,127.8288983398,14253715,0.0,1.0
DIS,2019-04-18 00:00:00+00:00,132.45,132.87,131.11,131.77,11890584,130.4286078507,130.8421980002,129.1090583262,129.7589857039,11890584,0.0,1.0
DIS,2019-04-22 00:00:00+00:00,131.68,132.2,131.03,131.9,10197506,129.6703592433,130.1824232379,129.0302792501,129.8870017026,10197506,0.0,1.0
DIS,2019-04-23 00:00:00+00:00,133.36,134.24,132.65,133.39,12159331,131.3247198412,132.1912896782,130.6255555409,131.3542619948,12159331,0.0,1.0
DIS,2019-04-24 00:00:00+00:00,135.1,135.75,132.72,133.11,11449455,133.0381647462,133.6782447394,130.6944872325,131.0785352284,11449455,0.0,1.0
DIS,2019-04-25 00:00:00+00:00,137.24,138.88,134.84,135.36,16382455,135.1455050316,136.7604760914,132.7821327489,133.2941967435,16382455,0.0,1.0
DIS,2019-04-26 00:00:00+00:00,139.92,140.04,137.51,138.7,14167589,137.7846040806,137.9027726947,135.4113844134,136.5832231702,14167589,0.0,1.0
DIS,2019-04-29 00:00:00+00:00,139.3,142.37,137.61,142.19,25746100,137.1740662409,140.1972132858,135.5098582585,140.0199603646,25746100,0.0,1.0
DIS,2019-04-30 00:00:00+00:00,136.97,139.39,136.03,139.12,15253088,134.8796256498,137.2626927015,133.9539715057,136.9968133197,15253088,0.0,1.0
DIS,2019-05-01 00:00:00+00:00,136.38,138.17,136.24,137.49,8906731,134.2986299636,136.0613117911,134.1607665804,135.3916896443,8906731,0.0,1.0
DIS,2019-05-02 00:00:00+00:00,134.14,135.69,132.38,135.38,16580402,132.0928158331,133.6191604323,130.3596761591,133.3138915125,16580402,0.0,1.0
DIS,2019-05-03 00:00:00+00:00,134.33,135.31,133.78,135.22,8874413,132.2799161388,133.2449598209,131.7383099907,133.1563333603,8874413,0.0,1.0
DIS,2019-05-06 00:00:00+00:00,135.0,135.33,132.3,132.54,9955629,132.9396909011,133.2646545899,130.280897083,130.5172343113,9955629,0.0,1.0
DIS,2019-05-07 00:00:00+00:00,133.44,135.97,132.76,135.35,10972651,131.4034989173,133.8948871986,130.7338767706,133.284349359,10972651,0.0,1.0
DIS,2019-05-08 00:00:00+00:00,134.99,135.7,133.31,133.5,15423532,132.9298435165,133.6290078168,131.2754829187,131.4625832244,15423532,0.0,1.0
DIS,2019-05-09 00:00:00+00:00,133.59,136.48,132.84,135.03,15297051,131.551209685,134.3971038087,130.8126558466,132.9692330546,15297051,0.0,1.0
DIS,2019-05-10 00:00:00+00:00,134.04,134.32,131.23,133.01,9858487,131.994341988,132.2700687543,129.2272269403,130.9800613833,9858487,0.0,1.0
DIS,2019-05-13 00:00:00+00:00,131.34,132.66,130.55,131.5,11389896,129.33554817,130.6354029254,128.5576047936,129.4931063221,11389896,0.0,1.0
DIS,2019-05-14 00:00:00+00:00,133.2,134.66,132.05,133.52,12001739,131.167161689,132.6048798277,130.0347124703,131.4822779934,12001739,0.0,1.0
DIS,2019-05-15 00:00:00+00:00,134.68,135.21,132.04,132.55,9734068,132.6245745967,133.1464859758,130.0248650857,130.5270816958,9734068,0.0,1.0
DIS,2019-05-16 00:00:00+00:00,135.5,136.4,134.81,135.29,9689397,133.4320601266,134.3183247326,132.7525905953,133.2252650519,9689397,0.0,1.0
DIS,2019-05-17 00:00:00+00:00,135.04,135.98,134.03,134.26,8964178,132.9790804391,133.9047345832,131.9844946035,132.2109844472,8964178,0.0,1.0
DIS,2019-05-20 00:00:00+00:00,133.91,134.4,133.25,134.25,8009000,131.8663259893,132.3488478304,131.2163986116,132.2011370627,8009000,0.0,1.0
DIS,2019-05-21 00:00:00+00:00,134.09,134.57,133.11,134.57,7050294,132.0435789105,132.5162533671,131.0785352284,132.5162533671,7050294,0.0,1.0
DIS,2019-05-22 00:00:00+00:00,133.85,134.17,133.39,133.82,5093746,131.8072416823,132.1223579866,131.3542619948,131.7776995287,5093746,0.0,1.0
DIS,2019-05-23 00:00:00+00:00,132.73,133.55,131.95,132.71,6743329,130.704334617,131.5118201469,129.9362386251,130.684639848,6743329,0.0,1.0
DIS,2019-05-24 00:00:00+00:00,132.79,133.29,132.22,133.1,4570132,130.7634189241,131.2557881496,130.2021180069,131.0686878439,4570132,0.0,1.0
DIS,2019-05-28 00:00:00+00:00,132.62,134.04,132.59,133.21,8938370,130.5960133874,131.994341988,130.5664712339,131.1770090736,8938370,0.0,1.0
DIS,2019-05-29 00:00:00+00:00,131.57,132.15,130.78,131.96,7749591,129.5620380137,130.1331863154,128.7840946373,129.9460860097,7749591,0.0,1.0
DIS,2019-05-30 00:00:00+00:00,132.2,132.68,131.34,131.88,5273987,130.1824232379,130.6550976945,129.33554817,129.8673069336,5273987,0.0,1.0
DIS,2019-05-31 00:00:00+00:00,132.04,132.93,130.78,130.96,7420899,130.0248650857,130.9012823072,128.7840946373,128.9613475585,7420899,0.0,1.0
DIS,2019-06-03 00:00:00+00:00,132.47,132.95,131.49,132.02,7901387,130.4483026197,130.9209770763,129.4832589376,130.0051703167,7901387,0.0,1.0
DIS,2019-06-04 00:00:00+00:00,134.82,134.88,132.92,133.45,8247513,132.7624379799,132.8215222869,130.8914349227,131.4133463018,8247513,0.0,1.0
DIS,2019-06-05 00:00:00+00:00,135.94,136.0,134.94,135.41,6842759,133.8653450451,133.9244293522,132.880606594,133.343433666,6842759,0.0,1.0
DIS,2019-06-06 00:00:00+00:00,137.21,137.44,135.73,136.51,6027316,135.115962878,135.3424527218,133.6585499704,134.4266459623,6027316,0.0,1.0
DIS,2019-06-07 00:00:00+00:00,138.04,138.76,137.33,137.6,7026269,135.9332957925,136.6423074773,135.2341314922,135.500010874,7026269,0.0,1.0
DIS,2019-06-10 00:00:00+00:00,137.07,138.88,136.07,138.88,8479526,134.9780994949,136.7604760914,133.9933610438,136.7604760914,8479526,0.0,1.0
DIS,2019-06-11 00:00:00+00:00,135.08,137.75,134.94,137.59,6352215,133.0184699772,135.6477216416,132.880606594,135.4901634895,6352215,0.0,1.0
DIS,2019-06-12 00:00:00+00:00,135.72,136.28,134.82,135.09,5536986,133.6487025859,134.2001561185,132.7624379799,133.0283173617,5536986,0.0,1.0
DIS,2019-06-13 00:00:00+00:00,141.74,141.85,137.61,137.95,17939543,139.5768280616,139.6851492912,135.5098582585,135.8446693319,17939543,0.0,1.0
DIS,2019-06-14 00:00:00+00:00,141.65,142.95,140.53,142.05,11125201,139.488201601,140.7683615875,138.3852945357,139.8820969814,11125201,0.0,1.0
DIS,2019-06-17 00:00:00+00:00,140.97,141.48,139.11,140.81,8542717,138.8185794542,139.3207960643,136.9869659352,138.6610213021,8542717,0.0,1.0
DIS,2019-06-18 00:00:00+00:00,139.24,143.51,138.97,141.99,11231406,137.1149819338,141.3198151201,136.849102552,139.8230126744,11231406,0.0,1.0
DIS,2019-06-19 00:00:00+00:00,140.92,141.07,138.58,139.51,6877141,138.7693425317,138.9170532994,136.4650545561,137.3808613156,6877141,0.0,1.0
DIS,2019-06-20 00:00:00+00:00,142.02,142.23,139.91,141.98,8485793,139.8525548279,140.0593499027,137.7747566961,139.8131652899,8485793,0.0,1.0
DIS,2019-06-21 00:00:00+00:00,140.23,142.0,140.0,141.95,14150036,138.0898730004,139.8328600589,137.8633831567,139.7836231363,14150036,0.0,1.0
DIS,2019-06-24 00:00:00+00:00,139.22,140.47,137.8,140.12,10497423,137.0952871648,138.3262102287,135.6969585642,137.9815517708,10497423,0.0,1.0
DIS,2019-06-25 00:00:00+00:00,139.94,140.41,138.67,139.02,14675355,137.8042988496,138.2671259216,136.5536810167,136.8983394746,14675355,0.0,1.0
DIS,2019-06-26 00:00:00+00:00,140.4,140.74,139.51,140.36,8842136,138.2572785371,138.5920896105,137.3808613156,138.2178889991,8842136,0.0,1.0
DIS,2019-06-27 00:00:00+00:00,139.3,141.74,138.92,141.0,6466261,137.1740662409,139.5768280616,136.7998656294,138.8481216078,6466261,0.0,1.0
DIS,2019-06-28 00:00:00+00:00,139.64,140.21,138.61,139.41,20078800,137.5088773143,138.0701782314,136.4945967096,137.2823874705,20078800,0.0,1.0
DIS,2019-07-01 00:00:00+00:00,141.65,141.95,139.22,140.45,8996454,139.488201601,139.7836231363,137.0952871648,138.3065154597,8996454,0.0,1.0
DIS,2019-07-02 00:00:00+00:00,142.53,142.86,141.27,141.4,7557314,140.354771438,140.6797351269,139.1140009896,139.2420169882,7557314,0.0,1.0
DIS,2019-07-03 00:00:00+00:00,142.98,143.0,142.0,142.7,4150852,140.797903741,140.81759851,139.8328600589,140.5221769747,4150852,0.0,1.0
DIS,2019-07-05 00:00:00+00:00,142.45,142.89,140.7,141.42,5595988,141.1425621989,141.578523781,139.4086240883,140.1220157681,5595988,0.88,1.0
DIS,2019-07-08 00:00:00+00:00,141.02,142.23,140.97,142.18,4993865,139.7256870571,140.9245814078,139.6761459682,140.875040319,4993865,0.0,1.0
DIS,2019-07-09 00:00:00+00:00,141.61,141.72,139.75,140.06,7396283,140.3102719058,140.4192623013,138.4673433997,138.7744981508,7396283,0.0,1.0
DIS,2019-07-10 00:00:00+00:00,143.54,144.25,142.01,142.4,9533663,142.2225579363,142.9260413983,140.7066006168,141.09302111,9533663,0.0,1.0
DIS,2019-07-11 00:00:00+00:00,143.56,145.34,143.54,144.01,10471130,142.2423743719,144.0060371357,142.2225579363,142.6882441717,10471130,0.0,1.0
DIS,2019-07-12 00:00:00+00:00,144.88,145.43,144.0,144.15,8510020,143.5502591181,144.0952110957,142.6783359539,142.8269592206,8510020,0.0,1.0
DIS,2019-07-15 00:00:00+00:00,145.06,145.36,143.97,145.13,5289248,143.728607038,144.0258535713,142.6486113006,143.7979645625,5289248,0.0,1.0
DIS,2019-07-16 00:00:00+00:00,144.3,144.99,143.81,144.75,5854707,142.9755824872,143.6592495136,142.4900798162,143.421452287,5854707,0.0,1.0
DIS,2019-07-17 00:00:00+00:00,142.57,144.68,142.37,144.6,5296353,141.2614608122,143.3520947626,141.0632964567,143.2728290204,5296353,0.0,1.0
DIS,2019-07-18 00:00:00+00:00,141.63,142.46,140.17,142.46,8035481,140.3300883414,141.1524704167,138.8834885463,141.1524704167,8035481,0.0,1.0
DIS,2019-07-19 00:00:00+00:00,139.85,142.24,139.74,142.24,6109874,138.5664255775,140.9344896256,138.457435182,140.9344896256,6109874,0.0,1.0
DIS,2019-07-22 00:00:00+00:00,140.84,141.44,140.01,141.25,7707699,139.5473391372,140.1418322036,138.7249570619,139.9535760659,7707699,0.0,1.0
DIS,2019-07-23 00:00:00+00:00,141.26,142.54,140.27,141.65,7514525,139.9634842837,141.2317361589,138.982570724,140.3499047769,7514525,0.0,1.0
DIS,2019-07-24 00:00:00+00:00,141.29,141.59,140.4,141.4,5896610,139.993208937,140.2904554703,139.1113775551,140.1021993325,5896610,0.0,1.0
DIS,2019-07-25 00:00:00+00:00,143.21,143.23,141.04,141.4,7294375,141.8955867497,141.9154031853,139.7455034927,140.1021993325,7294375,0.0,1.0
DIS,2019-07-26 00:00:00+00:00,144.65,145.19,143.05,143.74,8139402,143.3223701093,143.8574138691,141.7370552654,142.4207222918,8139402,0.0,1.0
